gamma,beta,expected_cut,approximation_ratio,top_measurement,top_probability
1.8849555921538759,0.47123889803846897,0.19272450843757907,0.09636225421878954,000,0.4518188728906053
1.8849555921538759,0.5497787143782138,0.06622986708369347,0.03311493354184673,000,0.4834425332290766
1.8849555921538759,0.6283185307179586,0.013677940664092057,0.0068389703320460285,000,0.496580514833977
1.8849555921538759,0.7068583470577035,0.040212877887526935,0.020106438943763467,000,0.4899467805281183
1.8849555921538759,0.7853981633974483,0.14323725421878938,0.07161862710939469,000,0.46419068644530265
1.8849555921538759,0.8639379797371931,0.31266632588953736,0.15633316294476868,000,0.4218334185276157
1.8849555921538759,0.9424777960769379,0.5319151948828815,0.26595759744144076,000,0.3670212012792796
1.8849555921538759,1.0210176124166828,0.7795222543050582,0.3897611271525291,000,0.30511943642373546
1.8849555921538759,1.0995574287564276,1.0312499999999996,0.5156249999999998,000,0.24218750000000006
1.8849555921538759,1.1780972450961724,1.262457566328749,0.6312287831643745,000,0.18438560841781268
1.8849555921538759,1.2566370614359172,1.4505127457812104,0.7252563728906052,000,0.1373718135546974
1.8849555921538759,1.335176877775662,1.577007387135096,0.788503693567548,001,0.13141728226125798
1.8849555921538759,1.413716694115407,1.6295593135546973,0.8147796567773486,001,0.1357966094628915
1.8849555921538759,1.4922565104551517,1.6030243763312622,0.8015121881656311,011,0.13358536469427187
1.8849555921538759,1.5707963267948966,1.4999999999999998,0.7499999999999999,000,0.12500000000000003
2.0420352248333655,0.0,1.5,0.75,000,0.125
2.0420352248333655,0.07853981633974483,1.2833580968916103,0.6416790484458051,000,0.17916047577709743
2.0420352248333655,0.15707963267948966,1.0296388064755868,0.5148194032377934,000,0.24259029838110335
2.0420352248333655,0.23561944901923448,0.7636779406640922,0.3818389703320461,000,0.3090805148339769
2.0420352248333655,0.3141592653589793,0.5115096020610703,0.25575480103053516,000,0.37212259948473236
2.0420352248333655,0.39269908169872414,0.297817784609112,0.148908892304556,000,0.42554555384772197
2.0420352248333655,0.47123889803846897,0.14352013227885477,0.07176006613942738,000,0.46411996693028634
2.0420352248333655,0.5497787143782138,0.06372037433534251,0.03186018716767126,000,0.4840699064161644
2.0420352248333655,0.6283185307179586,0.06622986708369341,0.033114933541846706,000,0.48344253322907665
2.0420352248333655,0.7068583470577035,0.15080296388903458,0.07540148194451729,000,0.4622992590277414
2.0420352248333655,0.7853981633974483,0.3091610607806452,0.1545805303903226,000,0.4227097348048387
2.0420352248333655,0.8639379797371931,0.5258029638890345,0.26290148194451723,000,0.3685492590277413
2.0420352248333655,0.9424777960769379,0.7795222543050588,0.3897611271525294,000,0.3051194364237353
2.0420352248333655,1.0210176124166828,1.0454831201165524,0.5227415600582762,000,0.2386292199708619
2.0420352248333655,1.0995574287564276,1.2976514587195747,0.6488257293597873,000,0.1755871353201063
2.0420352248333655,1.1780972450961724,1.5113432761715333,0.7556716380857667,001,0.12594527301429442
2.0420352248333655,1.2566370614359172,1.6656409285017904,0.8328204642508952,010,0.13880341070848254
2.0420352248333655,1.335176877775662,1.7454406864453023,0.8727203432226511,011,0.1454533905371086
2.0420352248333655,1.413716694115407,1.7429311936969514,0.8714655968484757,010,0.14524426614141267
2.0420352248333655,1.4922565104551517,1.6583580968916105,0.8291790484458053,001,0.1381965080743009
2.0420352248333655,1.5707963267948966,1.5,0.75,000,0.125
2.199114857512855,0.0,1.5,0.75,000,0.125
2.199114857512855,0.07853981633974483,1.2555550859152387,0.6277775429576193,000,0.18611122852119033
2.199114857512855,0.15707963267948966,0.9869872542187894,0.4934936271093947,000,0.25325318644530265
2.199114857512855,0.23561944901923448,0.720585795499215,0.3602928977496075,000,0.31985355112519626
2.199114857512855,0.3141592653589793,0.4824279406640921,0.24121397033204606,000,0.37939301483397697
2.199114857512855,0.39269908169872414,0.2958262398880295,0.14791311994401474,000,0.4260434400279926
2.199114857512855,0.47123889803846897,0.1790465677734868,0.0895232838867434,000,0.4552383580566283
2.199114857512855,0.5497787143782138,0.14352013227885468,0.07176006613942734,000,0.46411996693028634
2.199114857512855,0.6283185307179586,0.19272450843757877,0.09636225421878938,000,0.4518188728906053
2.199114857512855,0.7068583470577035,0.3218432290841958,0.1609216145420979,000,0.419539192728951
2.199114857512855,0.7853981633974483,0.5182372542187895,0.25911862710939476,000,0.37044068644530265
2.199114857512855,0.8639379797371931,0.7626821683035506,0.3813410841517753,000,0.30932945792411237
2.199114857512855,0.9424777960769379,1.03125,0.515625,000,0.2421875
2.199114857512855,1.0210176124166828,1.2976514587195744,0.6488257293597872,000,0.17558713532010636
2.199114857512855,1.0995574287564276,1.5358093135546969,0.7679046567773484,010,0.12798410946289143
2.199114857512855,1.1780972450961724,1.7224110143307594,0.8612055071653797,001,0.14353425119422997
2.199114857512855,1.2566370614359172,1.839190686445303,0.9195953432226515,001,0.15326589053710857
2.199114857512855,1.335176877775662,1.8747171219399346,0.9373585609699673,001,0.1562264268283279
2.199114857512855,1.413716694115407,1.8255127457812104,0.9127563728906052,001,0.15212606214843422
2.199114857512855,1.4922565104551517,1.6963940251345937,0.8481970125672968,011,0.1413661687612162
2.199114857512855,1.5707963267948966,1.5,0.75,000,0.125
2.356194490192345,0.0,1.5,0.75,000,0.125
2.356194490192345,0.07853981633974483,1.2498834478294718,0.6249417239147359,000,0.18752913804263202
